userId,movieId,rating,timestamp,firstName
1,1,4.0,964982703,Brandon
1,3,4.0,964981247,Brandon
1,6,4.0,964982224,Brandon
1,47,5.0,964983815,Brandon
1,50,5.0,964982931,Brandon
1,70,3.0,964982400,Brandon
1,101,5.0,964980868,Brandon
1,110,4.0,964982176,Brandon
1,151,5.0,964984041,Brandon
1,157,5.0,964984100,Brandon
1,163,5.0,964983650,Brandon
1,216,5.0,964981208,Brandon
1,223,3.0,964980985,Brandon
1,231,5.0,964981179,Brandon
1,235,4.0,964980908,Brandon
1,260,5.0,964981680,Brandon
1,296,3.0,964982967,Brandon
1,316,3.0,964982310,Brandon
1,333,5.0,964981179,Brandon
1,349,4.0,964982563,Brandon
1,356,4.0,964980962,Brandon
1,362,5.0,964982588,Brandon
1,367,4.0,964981710,Brandon
1,423,3.0,964982363,Brandon
1,441,4.0,964980868,Brandon
1,457,5.0,964981909,Brandon
1,480,4.0,964982346,Brandon
1,500,3.0,964981208,Brandon
1,527,5.0,964984002,Brandon
1,543,4.0,964981179,Brandon
1,552,4.0,964982653,Brandon
1,553,5.0,964984153,Brandon
1,590,4.0,964982546,Brandon
1,592,4.0,964982271,Brandon
1,593,4.0,964983793,Brandon
1,596,5.0,964982838,Brandon
1,608,5.0,964982931,Brandon
1,648,3.0,964982563,Brandon
1,661,5.0,964982838,Brandon
1,673,3.0,964981775,Brandon
1,733,4.0,964982400,Brandon
1,736,3.0,964982653,Brandon
1,780,3.0,964984086,Brandon
1,804,4.0,964980499,Brandon
1,919,5.0,964982475,Brandon
1,923,5.0,964981529,Brandon
1,940,5.0,964982176,Brandon
1,943,4.0,964983614,Brandon
1,954,5.0,964983219,Brandon
1,1009,3.0,964981775,Brandon
1,1023,5.0,964982681,Brandon
1,1024,5.0,964982876,Brandon
1,1025,5.0,964982791,Brandon
1,1029,5.0,964982855,Brandon
1,1030,3.0,964982903,Brandon
1,1031,5.0,964982653,Brandon
1,1032,5.0,964982791,Brandon
1,1042,4.0,964981179,Brandon
1,1049,5.0,964982400,Brandon
2,21,3.0,986935199,Alejandro
2,32,2.0,945173447,Alejandro
2,45,3.0,986935047,Alejandro
2,47,2.0,945173425,Alejandro
2,52,3.0,964622786,Alejandro
2,58,3.0,964538444,Alejandro
